#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.113964E-01   0.148733E+08   0.148613E+08  -0.276695E+04  -0.276696E+04   0.931414E+07   0.148464E+08   0.148714E+08   0.148464E+08  -0.354665E+00   0.784069E+07   0.784058E+07   0.315618E+01
   0.117827E-01   0.147105E+08   0.146978E+08  -0.256042E+04  -0.256043E+04   0.907048E+07   0.146831E+08   0.147085E+08   0.146831E+08  -0.350765E+00   0.775459E+07   0.775448E+07   0.322061E+01
   0.121820E-01   0.145439E+08   0.145304E+08  -0.236840E+04  -0.236841E+04   0.882582E+07   0.145160E+08   0.145418E+08   0.145160E+08  -0.346773E+00   0.766645E+07   0.766633E+07   0.328491E+01
   0.125950E-01   0.143733E+08   0.143590E+08  -0.218989E+04  -0.218990E+04   0.858151E+07   0.143450E+08   0.143711E+08   0.143450E+08  -0.342687E+00   0.757625E+07   0.757613E+07   0.334891E+01
   0.130219E-01   0.141988E+08   0.141837E+08  -0.202400E+04  -0.202400E+04   0.833733E+07   0.141700E+08   0.141964E+08   0.141700E+08  -0.338508E+00   0.748398E+07   0.748385E+07   0.341241E+01
   0.134632E-01   0.140203E+08   0.140044E+08  -0.186986E+04  -0.186986E+04   0.809343E+07   0.139911E+08   0.140178E+08   0.139911E+08  -0.334234E+00   0.738960E+07   0.738946E+07   0.347522E+01
   0.139196E-01   0.138378E+08   0.138210E+08  -0.172668E+04  -0.172668E+04   0.784988E+07   0.138082E+08   0.138352E+08   0.138082E+08  -0.329864E+00   0.729312E+07   0.729298E+07   0.353709E+01
   0.143914E-01   0.136513E+08   0.136335E+08  -0.159372E+04  -0.159372E+04   0.760668E+07   0.136213E+08   0.136485E+08   0.136213E+08  -0.325399E+00   0.719452E+07   0.719436E+07   0.359779E+01
   0.148792E-01   0.134608E+08   0.134420E+08  -0.147028E+04  -0.147029E+04   0.736388E+07   0.134303E+08   0.134578E+08   0.134303E+08  -0.320837E+00   0.709378E+07   0.709362E+07   0.365704E+01
   0.153835E-01   0.132661E+08   0.132463E+08  -0.135572E+04  -0.135573E+04   0.712176E+07   0.132353E+08   0.132630E+08   0.132353E+08  -0.316179E+00   0.699092E+07   0.699074E+07   0.371454E+01
   0.159049E-01   0.130675E+08   0.130466E+08  -0.124943E+04  -0.124944E+04   0.688081E+07   0.130363E+08   0.130642E+08   0.130363E+08  -0.311424E+00   0.688591E+07   0.688573E+07   0.376997E+01
   0.164440E-01   0.128647E+08   0.128428E+08  -0.115085E+04  -0.115085E+04   0.664152E+07   0.128333E+08   0.128613E+08   0.128333E+08  -0.306573E+00   0.677878E+07   0.677859E+07   0.382299E+01
   0.170014E-01   0.126580E+08   0.126350E+08  -0.105944E+04  -0.105945E+04   0.640420E+07   0.126262E+08   0.126544E+08   0.126262E+08  -0.301627E+00   0.666953E+07   0.666933E+07   0.387322E+01
   0.175777E-01   0.124473E+08   0.124231E+08  -0.974728E+03  -0.974731E+03   0.616898E+07   0.124152E+08   0.124435E+08   0.124152E+08  -0.296586E+00   0.655818E+07   0.655798E+07   0.392027E+01
