#           k/h    P           
   0.880068E-01   0.699164E+04
   0.897847E-01   0.675478E+04
   0.915985E-01   0.652374E+04
   0.934489E-01   0.630050E+04
   0.953367E-01   0.608705E+04
   0.972626E-01   0.588520E+04
   0.992274E-01   0.569652E+04
   0.101232E+00   0.552243E+04
   0.103277E+00   0.536393E+04
   0.105363E+00   0.522150E+04
   0.107492E+00   0.509504E+04
   0.109663E+00   0.498384E+04
   0.111879E+00   0.488654E+04
   0.114139E+00   0.480121E+04
   0.116445E+00   0.472540E+04
   0.118797E+00   0.465626E+04
   0.121197E+00   0.459055E+04
   0.123645E+00   0.452481E+04
   0.126143E+00   0.445556E+04
   0.128691E+00   0.437960E+04
   0.131291E+00   0.429446E+04
   0.133943E+00   0.419860E+04
   0.136649E+00   0.409166E+04
   0.139409E+00   0.397449E+04
   0.142226E+00   0.384897E+04
   0.145099E+00   0.371767E+04
   0.148030E+00   0.358348E+04
   0.151020E+00   0.344955E+04
   0.154071E+00   0.331901E+04
   0.157184E+00   0.319495E+04
   0.160359E+00   0.308056E+04
   0.163598E+00   0.297848E+04
   0.166903E+00   0.288961E+04
   0.170275E+00   0.281440E+04
   0.173715E+00   0.275132E+04
   0.177224E+00   0.269708E+04
   0.180804E+00   0.264917E+04
   0.184457E+00   0.260391E+04
   0.188183E+00   0.255829E+04
   0.191985E+00   0.250923E+04
   0.195863E+00   0.245443E+04
   0.199820E+00   0.239224E+04
   0.203856E+00   0.232266E+04
   0.207974E+00   0.224784E+04
   0.212176E+00   0.216989E+04
   0.216462E+00   0.209238E+04
   0.220835E+00   0.201836E+04
   0.225296E+00   0.195035E+04
   0.229847E+00   0.189044E+04
   0.234490E+00   0.183901E+04
   0.239227E+00   0.179547E+04
   0.244060E+00   0.175749E+04
   0.248990E+00   0.172213E+04
   0.254020E+00   0.168690E+04
   0.259152E+00   0.164975E+04
   0.264387E+00   0.160927E+04
   0.269728E+00   0.156475E+04
   0.275177E+00   0.151768E+04
   0.280736E+00   0.147026E+04
   0.286407E+00   0.142478E+04
   0.292193E+00   0.138318E+04
   0.298096E+00   0.134609E+04
   0.304118E+00   0.131351E+04
   0.310261E+00   0.128422E+04
   0.316529E+00   0.125673E+04
   0.322923E+00   0.122921E+04
   0.329447E+00   0.120029E+04
   0.336102E+00   0.117001E+04
   0.342892E+00   0.113894E+04
   0.349819E+00   0.110840E+04
   0.356885E+00   0.107958E+04
   0.364095E+00   0.105313E+04
