#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.181735E-01   0.122328E+08   0.122074E+08  -0.896254E+03  -0.896257E+03   0.593633E+07   0.122004E+08   0.122288E+08   0.122004E+08  -0.291456E+00   0.644486E+07   0.644465E+07   0.396372E+01
   0.187895E-01   0.120142E+08   0.119876E+08  -0.823567E+03  -0.823570E+03   0.570572E+07   0.119816E+08   0.120101E+08   0.119816E+08  -0.286229E+00   0.632941E+07   0.632919E+07   0.400311E+01
   0.194263E-01   0.117919E+08   0.117641E+08  -0.756283E+03  -0.756285E+03   0.547778E+07   0.117591E+08   0.117875E+08   0.117591E+08  -0.280913E+00   0.621197E+07   0.621174E+07   0.403796E+01
   0.200848E-01   0.115659E+08   0.115368E+08  -0.694028E+03  -0.694030E+03   0.525284E+07   0.115329E+08   0.115614E+08   0.115329E+08  -0.275509E+00   0.609260E+07   0.609236E+07   0.406778E+01
   0.207656E-01   0.113364E+08   0.113060E+08  -0.636455E+03  -0.636457E+03   0.503127E+07   0.113032E+08   0.113316E+08   0.113032E+08  -0.270022E+00   0.597137E+07   0.597112E+07   0.409204E+01
   0.214694E-01   0.111035E+08   0.110718E+08  -0.583242E+03  -0.583243E+03   0.481339E+07   0.110702E+08   0.110985E+08   0.110702E+08  -0.264455E+00   0.584836E+07   0.584810E+07   0.411021E+01
   0.221971E-01   0.108674E+08   0.108344E+08  -0.534085E+03  -0.534086E+03   0.459933E+07   0.108340E+08   0.108622E+08   0.108340E+08  -0.258812E+00   0.572369E+07   0.572341E+07   0.412172E+01
   0.229495E-01   0.106283E+08   0.105940E+08  -0.488704E+03  -0.488705E+03   0.438922E+07   0.105948E+08   0.106229E+08   0.105948E+08  -0.253099E+00   0.559745E+07   0.559717E+07   0.412601E+01
   0.237274E-01   0.103865E+08   0.103510E+08  -0.446836E+03  -0.446837E+03   0.418339E+07   0.103530E+08   0.103809E+08   0.103530E+08  -0.247322E+00   0.546980E+07   0.546951E+07   0.412249E+01
   0.245316E-01   0.101423E+08   0.101055E+08  -0.408236E+03  -0.408237E+03   0.398222E+07   0.101088E+08   0.101365E+08   0.101088E+08  -0.241489E+00   0.534090E+07   0.534059E+07   0.411059E+01
   0.253631E-01   0.989606E+07   0.985806E+07  -0.372676E+03  -0.372677E+03   0.378594E+07   0.986258E+07   0.989009E+07   0.986258E+07  -0.235607E+00   0.521091E+07   0.521060E+07   0.408973E+01
   0.262228E-01   0.964812E+07   0.960894E+07  -0.339943E+03  -0.339944E+03   0.359469E+07   0.961471E+07   0.964196E+07   0.961471E+07  -0.229685E+00   0.508004E+07   0.507972E+07   0.405937E+01
   0.271116E-01   0.939892E+07   0.935863E+07  -0.309839E+03  -0.309840E+03   0.340866E+07   0.936562E+07   0.939259E+07   0.936562E+07  -0.223735E+00   0.494853E+07   0.494821E+07   0.401897E+01
   0.280306E-01   0.914894E+07   0.910761E+07  -0.282178E+03  -0.282179E+03   0.322807E+07   0.911579E+07   0.914245E+07   0.911579E+07  -0.217767E+00   0.481662E+07   0.481629E+07   0.396804E+01
   0.289807E-01   0.889871E+07   0.885642E+07  -0.256787E+03  -0.256788E+03   0.305323E+07   0.886575E+07   0.889207E+07   0.886575E+07  -0.211794E+00   0.468460E+07   0.468426E+07   0.390613E+01
   0.299630E-01   0.864881E+07   0.860567E+07  -0.233505E+03  -0.233505E+03   0.288428E+07   0.861608E+07   0.864204E+07   0.861608E+07  -0.205829E+00   0.455277E+07   0.455242E+07   0.383289E+01
   0.309786E-01   0.839987E+07   0.835599E+07  -0.212180E+03  -0.212181E+03   0.272128E+07   0.836741E+07   0.839297E+07   0.836741E+07  -0.199889E+00   0.442145E+07   0.442110E+07   0.374801E+01
   0.320286E-01   0.815254E+07   0.810807E+07  -0.192672E+03  -0.192672E+03   0.256448E+07   0.812040E+07   0.814556E+07   0.812040E+07  -0.193988E+00   0.429101E+07   0.429066E+07   0.365130E+01
   0.331142E-01   0.790755E+07   0.786264E+07  -0.174848E+03  -0.174848E+03   0.241403E+07   0.787577E+07   0.790049E+07   0.787577E+07  -0.188144E+00   0.416182E+07   0.416147E+07   0.354270E+01
   0.342366E-01   0.766564E+07   0.762046E+07  -0.158584E+03  -0.158584E+03   0.227001E+07   0.763425E+07   0.765854E+07   0.763425E+07  -0.182374E+00   0.403427E+07   0.403392E+07   0.342228E+01
   0.353971E-01   0.742758E+07   0.738231E+07  -0.143764E+03  -0.143765E+03   0.213247E+07   0.739663E+07   0.742047E+07   0.739663E+07  -0.176698E+00   0.390877E+07   0.390842E+07   0.329025E+01
   0.365969E-01   0.719414E+07   0.714899E+07  -0.130280E+03  -0.130280E+03   0.200153E+07   0.716368E+07   0.718705E+07   0.716368E+07  -0.171133E+00   0.378574E+07   0.378539E+07   0.314704E+01
   0.378373E-01   0.696523E+07   0.692041E+07  -0.118013E+03  -0.118013E+03   0.187695E+07   0.693529E+07   0.695819E+07   0.693529E+07  -0.165677E+00   0.366511E+07   0.366477E+07   0.299334E+01
   0.391198E-01   0.674161E+07   0.669735E+07  -0.106869E+03  -0.106869E+03   0.175871E+07   0.671223E+07   0.673465E+07   0.671223E+07  -0.160348E+00   0.354729E+07   0.354696E+07   0.282998E+01
   0.404458E-01   0.652484E+07   0.648137E+07  -0.967733E+02  -0.967736E+02   0.164704E+07   0.649606E+07   0.651801E+07   0.649606E+07  -0.155184E+00   0.343311E+07   0.343278E+07   0.265790E+01
   0.418167E-01   0.631576E+07   0.627333E+07  -0.876416E+02  -0.876418E+02   0.154190E+07   0.628761E+07   0.630910E+07   0.628761E+07  -0.150204E+00   0.332300E+07   0.332269E+07   0.247840E+01
   0.432341E-01   0.611507E+07   0.607391E+07  -0.793937E+02  -0.793940E+02   0.144314E+07   0.608758E+07   0.610861E+07   0.608758E+07  -0.145426E+00   0.321734E+07   0.321704E+07   0.229300E+01
   0.446995E-01   0.592324E+07   0.588359E+07  -0.719526E+02  -0.719528E+02   0.135065E+07   0.589643E+07   0.591701E+07   0.589643E+07  -0.140860E+00   0.311637E+07   0.311609E+07   0.210348E+01
   0.462146E-01   0.574051E+07   0.570257E+07  -0.652442E+02  -0.652444E+02   0.126414E+07   0.571440E+07   0.573455E+07   0.571440E+07  -0.136511E+00   0.302021E+07   0.301994E+07   0.191186E+01
   0.477811E-01   0.556683E+07   0.553082E+07  -0.591979E+02  -0.591981E+02   0.118333E+07   0.554144E+07   0.556117E+07   0.554144E+07  -0.132379E+00   0.292884E+07   0.292859E+07   0.172038E+01
   0.494006E-01   0.540192E+07   0.536801E+07  -0.537471E+02  -0.537473E+02   0.110790E+07   0.537726E+07   0.539659E+07   0.537726E+07  -0.128457E+00   0.284211E+07   0.284188E+07   0.153145E+01
   0.510751E-01   0.524525E+07   0.521358E+07  -0.488298E+02  -0.488299E+02   0.103743E+07   0.522134E+07   0.524028E+07   0.522134E+07  -0.124732E+00   0.275974E+07   0.275953E+07   0.134763E+01
   0.528063E-01   0.509615E+07   0.506682E+07  -0.443888E+02  -0.443889E+02   0.971586E+06   0.507297E+07   0.509154E+07   0.507297E+07  -0.121188E+00   0.268136E+07   0.268117E+07   0.117150E+01
   0.545961E-01   0.495384E+07   0.492690E+07  -0.403726E+02  -0.403727E+02   0.909946E+06   0.493140E+07   0.494961E+07   0.493140E+07  -0.117806E+00   0.260657E+07   0.260640E+07   0.100568E+01
   0.564467E-01   0.481745E+07   0.479290E+07  -0.367347E+02  -0.367348E+02   0.852172E+06   0.479574E+07   0.481359E+07   0.479574E+07  -0.114565E+00   0.253490E+07   0.253475E+07   0.852640E+00
   0.583599E-01   0.468609E+07   0.466387E+07  -0.334337E+02  -0.334338E+02   0.797909E+06   0.466510E+07   0.468260E+07   0.466510E+07  -0.111444E+00   0.246587E+07   0.246575E+07   0.714655E+00
   0.611107E-01   0.451524E+07   0.449602E+07  -0.293860E+02  -0.293861E+02   0.728794E+06   0.449517E+07   0.451222E+07   0.449517E+07  -0.107385E+00   0.237610E+07   0.237599E+07   0.552004E+00
   0.638615E-01   0.435325E+07   0.433653E+07  -0.259486E+02  -0.259486E+02   0.667085E+06   0.433402E+07   0.435062E+07   0.433402E+07  -0.103535E+00   0.229095E+07   0.229087E+07   0.430638E+00
   0.666123E-01   0.419920E+07   0.418442E+07  -0.230096E+02  -0.230097E+02   0.611789E+06   0.418072E+07   0.419688E+07   0.418072E+07  -0.998731E-01   0.220996E+07   0.220989E+07   0.346981E+00
   0.693630E-01   0.404896E+07   0.403552E+07  -0.204645E+02  -0.204646E+02   0.561613E+06   0.403114E+07   0.404685E+07   0.403114E+07  -0.962998E-01   0.213092E+07   0.213086E+07   0.296339E+00
   0.721138E-01   0.389989E+07   0.388724E+07  -0.182382E+02  -0.182383E+02   0.515654E+06   0.388266E+07   0.389790E+07   0.388266E+07  -0.927526E-01   0.205246E+07   0.205240E+07   0.273102E+00
   0.748646E-01   0.375068E+07   0.373831E+07  -0.162767E+02  -0.162768E+02   0.473320E+06   0.373397E+07   0.374874E+07   0.373397E+07  -0.892007E-01   0.197389E+07   0.197383E+07   0.271161E+00
   0.776154E-01   0.360137E+07   0.358886E+07  -0.145417E+02  -0.145417E+02   0.434262E+06   0.358514E+07   0.359941E+07   0.358514E+07  -0.856453E-01   0.189524E+07   0.189517E+07   0.284300E+00
   0.803661E-01   0.345301E+07   0.344004E+07  -0.130052E+02  -0.130052E+02   0.398286E+06   0.343721E+07   0.345097E+07   0.343721E+07  -0.821114E-01   0.181706E+07   0.181699E+07   0.306582E+00
   0.831169E-01   0.330721E+07   0.329358E+07  -0.116457E+02  -0.116457E+02   0.365280E+06   0.329182E+07   0.330507E+07   0.329182E+07  -0.786381E-01   0.174022E+07   0.174014E+07   0.332645E+00
   0.858677E-01   0.316573E+07   0.315134E+07  -0.104449E+02  -0.104450E+02   0.335148E+06   0.315072E+07   0.316347E+07   0.315072E+07  -0.752674E-01   0.166565E+07   0.166555E+07   0.357936E+00
   0.886184E-01   0.303016E+07   0.301505E+07  -0.938678E+01  -0.938681E+01   0.307781E+06   0.301553E+07   0.302779E+07   0.301553E+07  -0.720378E-01   0.159419E+07   0.159409E+07   0.378867E+00
   0.913692E-01   0.290185E+07   0.288611E+07  -0.845629E+01  -0.845632E+01   0.283052E+06   0.288758E+07   0.289938E+07   0.288758E+07  -0.689814E-01   0.152657E+07   0.152646E+07   0.392873E+00
   0.941200E-01   0.278186E+07   0.276568E+07  -0.763982E+01  -0.763984E+01   0.260808E+06   0.276797E+07   0.277932E+07   0.276797E+07  -0.661239E-01   0.146335E+07   0.146324E+07   0.398413E+00
   0.968708E-01   0.267104E+07   0.265465E+07  -0.692491E+01  -0.692493E+01   0.240895E+06   0.265752E+07   0.266846E+07   0.265752E+07  -0.634854E-01   0.140497E+07   0.140485E+07   0.394901E+00
